Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
251120,KR7251120002,바이오에프디엔씨,KOSDAQ,기술성장기업부,9000,1,130,1.47,9070,9070,8710,5071,44802770,78261300000,8695700,KSQ
038680,KR7038680005,에스넷,KOSDAQ,우량기업부,3930,2,-10,-0.25,3935,3960,3830,93183,363170390,78256683060,19912642,KSQ
012700,KR7012700001,리드코프,KOSDAQ,우량기업부,2985,1,15,0.51,3015,3015,2975,5133,15340850,78191633220,26194852,KSQ
282620,KR7282620004,기도산업,KOSDAQ,중견기업부,13300,1,430,3.34,12870,13400,12850,153550,2023135715,77947403100,5860707,KSQ
045660,KR7045660008,에이텍,KOSDAQ,우량기업부,9420,1,180,1.95,9160,9450,9160,7111,66457720,77809200000,8260000,KSQ
487580,KR7487580003,폴레드,KOSDAQ,벤처기업부,3085,1,20,0.65,3095,3125,3040,117230,361480340,77689126185,25182861,KSQ
039980,KR7039980008,폴라리스AI,KOSDAQ,중견기업부,5400,1,80,1.5,5440,5530,5340,285992,1551074925,77658555600,14381214,KSQ
0011A0,KR70011A0009,액스비스,KOSDAQ,벤처기업부,8320,1,380,4.79,7940,8340,7940,24669,202171135,77656716800,9333740,KSQ
094860,KR7094860004,네오리진,KOSDAQ,중견기업부,1460,1,19,1.32,1442,1463,1432,115915,168259532,77540620440,53110014,KSQ
007820,KR7007820004,엠엑스로보틱스,KOSDAQ,중견기업부,3870,1,170,4.59,3770,3920,3755,208182,800319712,77531371020,20033946,KSQ
115440,KR7115440000,우리넷,KOSDAQ,우량기업부,7180,1,270,3.91,7000,7190,6980,36932,262088410,77503016560,10794292,KSQ
124560,KR7124560004,태웅로직스,KOSDAQ,우량기업부,2000,2,-5,-0.25,2000,2010,1982,14400,28640463,77441622000,38720811,KSQ
024880,KR7024880007,케이피에프,KOSDAQ,우량기업부,3870,1,60,1.57,3840,3870,3800,13829,53019520,77174084880,19941624,KSQ
347890,KR7347890006,엠엑스온,KOSDAQ,벤처기업부,4535,1,40,0.89,4490,4560,4475,7489,33932325,77154880140,17013204,KSQ
142280,KR7142280007,녹십자엠에스,KOSDAQ,중견기업부,3215,1,80,2.55,3150,3275,3110,594071,1906326568,77041144665,23963031,KSQ
100130,KR7100130004,동국S&C,KOSDAQ,중견기업부,1348,1,8,0.6,1340,1378,1332,102036,136976662,77028764000,57143000,KSQ
065510,KR7065510000,휴비츠,KOSDAQ,우량기업부,7080,1,30,0.43,7070,7080,6970,7877,55536770,77015496600,10877895,KSQ
263800,KR7263800005,데이타솔루션,KOSDAQ,중견기업부,4745,1,135,2.93,4620,4805,4610,174462,824004155,76989428100,16225380,KSQ
0017J0,KR70017J0004,세미티에스,KOSDAQ,벤처기업부,2545,1,5,0.2,2550,2610,2515,159543,408021020,76734399345,30151041,KSQ
451250,KR7451250005,삐아,KOSDAQ,벤처기업부,7500,1,20,0.27,7300,7850,7300,9358,70573540,76694077500,10225877,KSQ
225530,KR7225530005,HC보광산업,KOSDAQ,우량기업부,2110,2,-5,-0.24,2115,2130,2090,5054,10673360,76674713970,36338727,KSQ
487400,KR7487400004,케이앤에스아이앤씨,KOSDAQ,기술성장기업부,7470,1,330,4.62,7180,7760,7170,293839,2191638025,76648788540,10260882,KSQ
030960,KR7030960009,양지사,KOSDAQ,중견기업부,4790,1,240,5.27,4580,4915,4520,156287,743207190,76544200000,15980000,KSQ
058630,KR7058630005,엠게임,KOSDAQ,우량기업부,4075,1,65,1.62,4015,4075,4005,47101,190745878,76498239050,18772574,KSQ
261780,KR7261780001,아리바이오랩,KOSDAQ,기술성장기업부,2635,1,40,1.54,2595,2655,2520,257575,670537069,76298996760,28955976,KSQ
382840,KR7382840007,원준,KOSDAQ,중견기업부,4990,1,60,1.22,4895,5180,4895,19683,99408825,76205189190,15271581,KSQ
004590,KR7004590006,한국가구,KOSDAQ,중견기업부,5080,1,80,1.6,4995,5090,4995,29199,147505925,76200000000,15000000,KSQ
290660,KR7290660000,다이나믹솔루션,KOSDAQ,기술성장기업부,1777,1,84,4.96,1715,1840,1695,840983,1490280903,76122926976,42837888,KSQ
246960,KR7246960009,SCL사이언스,KOSDAQ,기술성장기업부,2235,2,-20,-0.89,2255,2380,2205,41833,93989717,76028100045,34017047,KSQ
294630,KR7294630009,서남,KOSDAQ,기술성장기업부,2865,1,135,4.95,2800,2870,2740,129421,366159374,75920147835,26499179,KSQ
365330,KR7365330000,에스와이스틸텍,KOSDAQ,우량기업부,1509,1,14,0.94,1509,1526,1477,273381,409593776,75708039000,50171000,KSQ
463020,KR7463020008,뉴엔AI,KOSDAQ,기술성장기업부,8420,1,220,2.68,8270,8600,8230,44948,379789730,75672224000,8987200,KSQ
078890,KR7078890001,가온그룹,KOSDAQ,중견기업부,4105,1,75,1.86,4050,4135,4000,37046,150550365,75634391015,18424943,KSQ
041930,KR7041930009,SY동아,KOSDAQ,우량기업부,4975,2,-25,-0.5,5000,5060,4880,108451,536077448,75620000000,15200000,KSQ
047820,KR7047820006,초록뱀미디어,KOSDAQ,중견기업부,3085,2,-5,-0.16,3090,3135,3065,6072,18775517,75440374050,24453930,KSQ
412350,KR7412350001,레이저쎌,KOSDAQ,기술성장기업부,5150,2,-150,-2.83,5330,5390,5100,294680,1537529250,75205671450,14603043,KSQ
060590,KR7060590007,씨티씨바이오,KOSDAQ,중견기업부,3110,1,50,1.63,3060,3165,3045,48055,148706097,75202972200,24181020,KSQ
417790,KR7417790003,트루엔,KOSDAQ,벤처기업부,7180,1,50,0.7,7140,7210,7070,21811,155832600,75163047380,10468391,KSQ
032540,KR7032540007,TJ미디어,KOSDAQ,우량기업부,3595,1,105,3.01,3485,3620,3410,10887,39023055,75126199735,20897413,KSQ
208140,KR7208140004,정다운,KOSDAQ,우량기업부,2290,2,-10,-0.43,2280,2305,2280,12445,28509145,74846923340,32684246,KSQ
140070,KR7140070004,서플러스글로벌,KOSDAQ,벤처기업부,2020,1,22,1.1,2010,2040,1957,52321,104151716,74715760000,36988000,KSQ
900300,HK0000312568,오가닉티코스메틱,KOSDAQ,외국기업(소속부없음),3630,2,-215,-5.59,3850,3890,3480,178180,643595565,74705752110,20580097,KSQ
173130,KR7173130006,오파스넷,KOSDAQ,중견기업부,5720,1,120,2.14,5560,5730,5560,27233,154317610,74625825560,13046473,KSQ
088390,KR7088390000,이녹스,KOSDAQ,중견기업부,7950,2,-100,-1.24,8030,8060,7850,2930,23288210,74617459800,9385844,KSQ
253840,KR7253840003,수젠텍,KOSDAQ,중견기업부,4450,1,135,3.13,4265,4450,4255,208043,909893122,74507240000,16743200,KSQ
