Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,lateInfoMsgCd
383220,KR7383220001,F&F,KOSPI,,68200,2,-200,-0.29,68500,69000,67900,14543,992780100,2612542515000,38307075,STK,ME005
003690,KR7003690005,코리안리,KOSPI,,14620,2,-340,-2.27,14950,15000,14620,81603,1205402570,2583661473220,176721031,STK,ME005
026960,KR7026960005,동서,KOSPI,,25375,2,-25,-0.1,25400,25650,25250,15276,388276350,2529887500000,99700000,STK,ME005
450080,KR7450080007,에코프로머티,KOSPI,,35250,1,1000,2.92,34850,35350,34750,109484,3837354275,2496188917500,70813870,STK,ME005
005440,KR7005440003,현대지에프홀딩스,KOSPI,,13310,1,130,0.99,13400,13520,13210,145068,1930442695,2441016718690,183397199,STK,ME005
489790,KR7489790006,한화비전,KOSPI,,48250,1,1500,3.21,48200,49600,47950,116708,5677619100,2436064817500,50488390,STK,ME005
004990,KR7004990008,롯데지주,KOSPI,,24400,3,0,0.0,24500,24700,24350,31316,767617650,2431796134400,99663776,STK,ME005
009420,KR7009420001,한올바이오파마,KOSPI,,46400,2,-400,-0.85,47550,47750,46250,83987,3934022625,2423965603200,52240638,STK,ME005
014680,KR7014680003,한솔케미칼,KOSPI,,224500,1,9000,4.18,220500,226000,219500,31820,7119684500,2423261082000,10794036,STK,ME005
004370,KR7004370003,농심,KOSPI,,391500,2,-3000,-0.76,395500,395500,389500,5993,2346378250,2381354343000,6082642,STK,ME005
282330,KR7282330000,BGF리테일,KOSPI,,134700,2,-4000,-2.88,138500,138500,134500,10792,1461467400,2328142138200,17283906,STK,ME005
000240,KR7000240002,한국앤컴퍼니,KOSPI,,24500,3,0,0.0,24750,24750,24100,41168,1003600550,2325913380000,94935240,STK,ME005
005850,KR7005850003,에스엘,KOSPI,,49750,1,500,1.02,49800,50300,49650,27611,1378725050,2310813870000,46448520,STK,ME005
001720,KR7001720002,신영증권,KOSPI,,139200,2,-800,-0.57,140500,142500,139000,2876,403078450,2288448000000,16440000,STK,ME005
483650,KR7483650008,달바글로벌,KOSPI,,180050,2,-3050,-1.67,182500,184500,178900,63266,11440258300,2255516058250,12527165,STK,ME005
103140,KR7103140000,풍산,KOSPI,,79300,1,1300,1.67,78600,79900,77400,39612,3116449650,2222325245400,28024278,STK,ME005
204320,KR7204320006,HL만도,KOSPI,,47300,3,0,0.0,47500,48250,47150,132980,6326930000,2221071776000,46957120,STK,ME005
018670,KR7018670000,SK가스,KOSPI,,237000,2,-7000,-2.87,241500,244000,236500,4101,980024750,2196810828000,9269244,STK,ME005
279570,KR7279570006,케이뱅크,KOSPI,,5380,3,0,0.0,5410,5420,5370,236006,1272112550,2182639912380,405695151,STK,ME005
069960,KR7069960003,현대백화점,KOSPI,,100500,1,600,0.6,100000,100900,98700,26461,2640161850,2167273656000,21564912,STK,ME005
009970,KR7009970005,영원무역홀딩스,KOSPI,,166400,1,500,0.3,166300,168700,165100,5334,887350700,2155515148800,12953817,STK,ME005
112610,KR7112610001,씨에스윈드,KOSPI,,50300,2,-100,-0.2,50800,50800,49600,109100,5475291300,2121221570900,42171403,STK,ME005
020150,KR7020150009,롯데에너지머티리얼즈,KOSPI,,39850,2,-1550,-3.74,41850,41900,39550,168875,6770844750,2086763700550,52365463,STK,ME005
051600,KR7051600005,한전KPS,KOSPI,,46250,1,100,0.22,46500,46850,45900,52431,2428062925,2081250000000,45000000,STK,ME005
030000,KR7030000004,제일기획,KOSPI,,17510,1,80,0.46,17550,17560,17420,88125,1539800350,2014371849750,115041225,STK,ME005
081660,KR7081660003,미스토홀딩스,KOSPI,,37750,2,-750,-1.95,38650,38650,37750,45458,1727285025,2004216960000,53091840,STK,ME005
139480,KR7139480008,이마트,KOSPI,,72500,2,-600,-0.82,73400,73700,72400,42385,3084597350,2000696877500,27595819,STK,ME005
002790,KR7002790004,아모레퍼시픽홀딩스,KOSPI,,26100,2,-500,-1.88,26400,26700,26100,26781,707854675,1995558498000,76458180,STK,ME005
457190,KR7457190007,이수스페셜티케미컬,KOSPI,,65300,1,1400,2.19,65000,65700,64500,42469,2762116800,1973292341600,30218872,STK,ME005
073240,KR7073240004,금호타이어,KOSPI,,6840,1,60,0.88,6880,6900,6800,382462,2617992825,1964860363080,287260287,STK,ME005
007070,KR7007070006,GS리테일,KOSPI,,23200,2,-100,-0.43,23250,23300,22900,69158,1597624975,1939692028000,83607415,STK,ME005
181710,KR7181710005,NHN,KOSPI,,58300,1,2000,3.55,57400,58300,55600,84253,4777632750,1884778659500,32328965,STK,ME005
229640,KR7229640008,LS에코에너지,KOSPI,,59900,3,0,0.0,61300,62400,59500,159684,9704575400,1834430252100,30624879,STK,ME005
462870,KR7462870007,시프트업,KOSPI,,30725,2,-75,-0.24,30900,31100,30550,26326,809493275,1804844570250,58741890,STK,ME005
089860,KR7089860001,롯데렌탈,KOSPI,,49600,1,400,0.81,49050,50000,49000,24750,1228349275,1800945644800,36309388,STK,ME005
439260,KR7439260001,대한조선,KOSPI,,46250,2,-150,-0.32,46450,46950,46100,11588,538075700,1761603762500,38088730,STK,ME005
475150,KR7475150009,SK이터닉스,KOSPI,,50700,1,500,1.0,50900,52500,50600,529295,27282706850,1727197102800,34067004,STK,ME005
023590,KR7023590003,다우기술,KOSPI,,39600,1,200,0.51,39650,40350,39500,11770,469345325,1714177555200,43287312,STK,ME005
071970,KR7071970008,HD현대마린엔진,KOSPI,,50300,2,-800,-1.57,51300,51300,49750,112303,5648742450,1706251198500,33921495,STK,ME005
020560,KR7020560009,아시아나항공,KOSPI,,8170,1,470,6.1,7760,8190,7750,235927,1903283345,1682944108870,205990711,STK,ME005
120110,KR7120110002,코오롱인더,KOSPI,,55400,2,-1700,-2.98,58100,58400,55400,74111,4177241750,1659010172800,29946032,STK,ME005
000120,KR7000120006,CJ대한통운,KOSPI,,71000,1,300,0.42,70800,71200,70600,12626,894325200,1619676424000,22812344,STK,ME005
001120,KR7001120005,LX인터내셔널,KOSPI,,41400,2,-250,-0.6,41600,41700,40950,38773,1603101450,1604664000000,38760000,STK,ME005
001430,KR7001430008,세아베스틸지주,KOSPI,,44450,1,650,1.48,43900,44500,43300,42863,1889784875,1594071189550,35862119,STK,ME005
008770,KR7008770000,호텔신라,KOSPI,,40550,1,450,1.12,40500,40700,40350,38762,1571735375,1591511306550,39248121,STK,ME005
007810,KR7007810005,코리아써키트,KOSPI,,66000,1,13700,26.2,60800,67900,59700,2208831,145175675350,1582852920000,23982620,STK,ME005
281820,KR7281820001,케이씨텍,KOSPI,,79000,1,1900,2.46,78700,79800,77000,104062,8176728650,1564094219000,19798661,STK,ME005
001820,KR7001820000,삼화콘덴서,KOSPI,,150200,1,4200,2.88,150000,157700,146800,1155823,175144816550,1561329000000,10395000,STK,ME005
006040,KR7006040000,동원산업,KOSPI,,35000,2,-500,-1.41,35200,35600,34850,15773,553251700,1544928665000,44140819,STK,ME005
012630,KR7012630000,HDC,KOSPI,,25700,2,-200,-0.77,25800,26200,25650,35617,919943700,1535362229700,59741721,STK,ME005
294870,KR7294870001,IPARK현대산업개발,KOSPI,,23200,2,-300,-1.28,23900,24000,23200,61203,1432049525,1529050056000,65907330,STK,ME005
011210,KR7011210002,현대위아,KOSPI,,54100,1,500,0.93,54000,54700,53800,17814,965578550,1471253990300,27195083,STK,ME005
093370,KR7093370005,후성,KOSPI,,13670,2,-230,-1.65,14080,14440,13630,1863978,25940322630,1466180361100,107255330,STK,ME005
006280,KR7006280002,녹십자,KOSPI,,123700,2,-2000,-1.59,125700,126300,123300,8480,1053801500,1445624750600,11686538,STK,ME005
001800,KR7001800002,오리온홀딩스,KOSPI,,23750,2,-250,-1.04,24050,24150,23650,42506,1013652250,1428720485000,60156652,STK,ME005
