Time,Market,Foreign_Net,Individual_Net,Institutional_Net,Date
12:22,코스피,1406,-1771,501,20260811
12:22,코스닥,-3069,3762,-760,20260811
12:23,코스피,1591,-2101,654,20260811
12:23,코스닥,-3059,3748,-756,20260811
12:24,코스피,1591,-2101,654,20260811
12:24,코스닥,-3059,3748,-756,20260811
12:25,코스피,1734,-2635,1070,20260811
12:25,코스닥,-3045,3725,-748,20260811
12:26,코스피,1742,-2714,1142,20260811
12:26,코스닥,-3059,3741,-750,20260811
12:27,코스피,1742,-2714,1142,20260811
12:27,코스닥,-3059,3741,-750,20260811
12:28,코스피,1752,-2779,1199,20260811
12:28,코스닥,-3077,3760,-752,20260811
12:29,코스피,1900,-3321,1597,20260811
12:29,코스닥,-3095,3785,-761,20260811
12:30,코스피,1900,-3321,1597,20260811
12:30,코스닥,-3095,3785,-761,20260811
12:31,코스피,1893,-3307,1590,20260811
12:31,코스닥,-3109,3808,-771,20260811
12:32,코스피,1903,-3230,1499,20260811
12:32,코스닥,-3135,3864,-803,20260811
12:33,코스피,1903,-3230,1499,20260811
12:33,코스닥,-3135,3864,-803,20260811
12:34,코스피,1886,-3184,1475,20260811
12:34,코스닥,-3151,3896,-819,20260811
12:35,코스피,1832,-3005,1355,20260811
12:35,코스닥,-3155,3935,-855,20260811
12:36,코스피,1832,-3005,1355,20260811
12:36,코스닥,-3155,3935,-855,20260811
12:37,코스피,1808,-2972,1347,20260811
12:37,코스닥,-3151,3975,-899,20260811
12:38,코스피,1770,-3058,1471,20260811
12:38,코스닥,-3134,3981,-924,20260811
12:39,코스피,1770,-3058,1471,20260811
12:39,코스닥,-3134,3981,-924,20260811
12:40,코스피,1775,-3077,1487,20260811
12:40,코스닥,-3135,3984,-926,20260811
12:41,코스피,1762,-3023,1443,20260811
12:41,코스닥,-3145,4016,-950,20260811
12:42,코스피,1762,-3023,1443,20260811
12:42,코스닥,-3145,4016,-950,20260811
12:43,코스피,1776,-3086,1494,20260811
12:43,코스닥,-3148,4032,-965,20260811
12:44,코스피,1839,-3211,1554,20260811
12:44,코스닥,-3164,4090,-1007,20260811
12:45,코스피,1839,-3211,1554,20260811
12:45,코스닥,-3164,4090,-1007,20260811
12:46,코스피,1887,-3078,1372,20260811
12:46,코스닥,-3172,4127,-1038,20260811
12:47,코스피,1836,-2950,1290,20260811
12:47,코스닥,-3192,4190,-1082,20260811
12:48,코스피,1836,-2950,1290,20260811
12:48,코스닥,-3192,4190,-1082,20260811
12:49,코스피,1746,-2993,1423,20260811
12:49,코스닥,-3185,4189,-1088,20260811
12:50,코스피,1784,-2936,1330,20260811
12:50,코스닥,-3189,4199,-1095,20260811
